transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
19577326,https://condo-sg.com/normanton-park-4789,normanton park,apartment,5,kent ridge,queenstown,sep-21,1087,06 to 10,A,1984000
73221109,https://condo-sg.com/thomson-800-7123,thomson 800,condominium,11,toa payoh west,toa payoh,nov-20,1410,11 to 15,A,2100000
59785688,https://condo-sg.com/seaside-residences-2466,seaside residences,apartment,15,siglap,bedok,jan-19,1679,21 to 25,A,3550200
46788488,https://condo-sg.com/riverfront-residences-4309,riverfront residences,apartment,19,kangkar,hougang,mar-19,721,01 to 05,A,920000
41628317,https://condo-sg.com/mandale-heights-5175,mandale heights,apartment,11,balestier,novena,jun-18,1399,01 to 05,A,1638000
62255390,https://condo-sg.com/queens-peak-7494,queens peak,condominium,3,margaret drive,queenstown,dec-17,775,16 to 20,A,1309000
67192559,https://condo-sg.com/icon-6768,icon,apartment,2,tanjong pagar,downtown core,apr-21,1066,36 to 40,A,1750000
90246904,https://condo-sg.com/waterfront-key-9669,waterfront key,condominium,16,bedok reservoir,bedok,oct-21,883,06 to 10,A,1120888
66389094,https://condo-sg.com/queens-peak-8010,queens peak,condominium,3,margaret drive,queenstown,mar-18,807,41 to 45,A,1569000
43802484,https://condo-sg.com/twin-fountains-7908,twin fountains,executive condominium,25,woodlands south,woodlands,sep-21,829,11 to 15,A,828000
64629122,https://condo-sg.com/the-m-7340,the m,apartment,7,bugis,downtown core,feb-20,527,01 to 05,A,1147600
30994688,https://condo-sg.com/the-interweave-6125,the interweave,apartment,12,balestier,novena,oct-21,377,11 to 15,A,588000
19502701,https://condo-sg.com/kerrisdale-9090,kerrisdale,condominium,8,lavender,kallang,nov-17,1259,01 to 05,A,1250000
69518658,https://condo-sg.com/riverfront-residences-6649,riverfront residences,apartment,19,kangkar,hougang,jul-18,614,01 to 05,A,786000
88729025,https://condo-sg.com/the-clift-1933,the clift,apartment,1,cecil,downtown core,mar-19,775,16 to 20,A,1380000
17846802,https://condo-sg.com/caspian-8418,caspian,condominium,22,taman jurong,jurong west,mar-21,1141,11 to 15,A,1360000
91029355,https://condo-sg.com/maysprings-1449,maysprings,apartment,23,jelebu,bukit panjang,jan-18,915,06 to 10,A,760000
39787865,https://condo-sg.com/parc-esta-3535,parc esta,apartment,14,geylang east,geylang,may-20,743,01 to 05,A,1240000
37215070,https://condo-sg.com/botanic-gardens-view-7272,botanic gardens view,apartment,10,nassim,tanglin,sep-20,1410,06 to 10,A,3000000
82991050,https://condo-sg.com/sims-urban-oasis-2671,sims urban oasis,condominium,14,aljunied,geylang,nov-17,1173,16 to 20,A,1684800
77650891,https://condo-sg.com/citylights-3008,citylights,condominium,8,lavender,kallang,apr-18,926,06 to 10,A,1305000
16378810,https://condo-sg.com/the-meyerise-7653,the meyerise,condominium,15,mountbatten,marine parade,apr-17,883,26 to 30,A,1750000
94810555,https://condo-sg.com/riverfront-residences-8964,riverfront residences,apartment,19,kangkar,hougang,oct-18,463,01 to 05,A,604000
23501453,https://condo-sg.com/alex-residences-6367,alex residences,apartment,3,redhill,bukit merah,jun-17,926,26 to 30,A,1718000
85646588,https://condo-sg.com/landbay-condominium-5046,landbay condominium,condominium,16,bayshore,bedok,aug-17,1023,01 to 05,A,1280000
76222787,https://condo-sg.com/piermont-grand-2196,piermont grand,executive condominium,19,punggol town centre,punggol,jun-20,1367,01 to 05,A,1521180
14640297,https://condo-sg.com/centra-suites-3912,centra suites,apartment,14,aljunied,geylang,jul-17,431,01 to 05,A,550000
24842451,https://condo-sg.com/whistler-grand-6274,whistler grand,apartment,5,west coast,clementi,dec-20,506,26 to 30,A,829600
51325417,https://condo-sg.com/belysa-1431,belysa,executive condominium,18,pasir ris west,pasir ris,sep-21,969,01 to 05,A,920000
23574102,https://condo-sg.com/the-criterion-8767,the criterion,executive condominium,27,lower seletar,yishun,aug-17,1195,01 to 05,A,840000
90329179,https://condo-sg.com/the-quartz-3454,the quartz,condominium,19,compassvale,sengkang,jul-19,1173,16 to 20,A,1200000
63914377,https://condo-sg.com/viz-at-holland-2469,viz at holland,condominium,10,leedon park,bukit timah,jul-20,1109,11 to 15,A,1730000
85037190,https://condo-sg.com/sixteen35-residences-9518,sixteen35 residences,apartment,14,aljunied,geylang,may-18,538,01 to 05,A,788000
96859316,https://condo-sg.com/parc-botannia-8909,parc botannia,condominium,28,fernvale,sengkang,nov-17,431,01 to 05,A,554000
