transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
41529164.0,https://condo-sg.com/seastrand-2796,seastrand,condominium,18,pasir ris park,pasir ris,jun-18,1216,01 to 05,A,1200000
25881235.0,https://condo-sg.com/the-panorama-6774,the panorama,condominium,20,kebun bahru,ang mo kio,nov-19,452,16 to 20,A,722000
14372114.0,https://condo-sg.com/parc-central-residences-6985,parc central residences,executive condominium,18,tampines west,tampines,jan-21,1023,01 to 05,A,1224000
79152225.0,https://condo-sg.com/the-sixth-avenue-residences-2923,the sixth avenue residences,condominium,10,holland road,bukit timah,jul-21,969,01 to 05,A,1830000
82839282.0,https://condo-sg.com/nv-residences-8498,nv residences,condominium,18,pasir ris central,pasir ris,dec-17,904,01 to 05,A,810000
78077622.0,https://condo-sg.com/tre-residences-4942,tre residences,condominium,14,aljunied,geylang,jul-17,861,11 to 15,A,1334000
44433314.0,https://condo-sg.com/the-orchard-residences-2203,the orchard residences,apartment,9,boulevard,orchard,nov-18,2465,31 to 35,A,7750000
77854796.0,https://condo-sg.com/jersey-lodge-7182,jersey_lodge,apartment,15,frankel,bedok,feb-26,936,01 to 05,A,1070000
25403696.0,https://condo-sg.com/the-warren-2161,the warren,condominium,23,choa chu kang central,choa chu kang,nov-17,1076,11 to 15,A,930000
22384444.0,https://condo-sg.com/commonwealth-towers-1586,commonwealth_towers,condominium,3,margaret drive,queenstown,may-17,463,21 to 25,A,838000
71370815.0,https://condo-sg.com/the-nautical-6696,the nautical,condominium,27,sembawang springs,sembawang,jul-20,1722,01 to 05,A,1500000
72329234.0,https://condo-sg.com/the-orange-grove-9617,the orange grove,condominium,10,orange grove,Newton,jun-21,2336,01 to 05,A,4900000
87382573.0,https://condo-sg.com/adria-1784,adria,apartment,11,moulmein,novena,oct-20,538,11 to 15,A,925000
25518781.0,https://condo-sg.com/glendale-park-7869,glendale park,condominium,23,hillview,bukit batok,dec-17,1044,01 to 05,A,1088000
50940654.0,https://condo-sg.com/canberra-residences-6395,canberra residences,condominium,27,sembawang springs,sembawang,oct-17,1076,01 to 05,A,950000
36694979.0,https://condo-sg.com/haig-eleven-8229,haig eleven,apartment,15,katong,Marine Parade,aug-21,807,01 to 05,A,1125000
86582023.0,https://condo-sg.com/aquarius-by-the-park-2322,aquarius by the park,condominium,16,bedok reservoir,Bedok,aug-17,1227,11 to 15,A,1042000
83318367.0,https://condo-sg.com/signature-park-3622,signature park,condominium,21,anak bukit,bukit timah,nov-20,1,06 to 10,A,2038000
22429711.0,https://condo-sg.com/the-tre-ver-2363,the tre ver,condominium,13,potong pasir,toa payoh,sep-18,1055,06 to 10,A,1612000
92651860.0,https://condo-sg.com/the-waterside-2944,the waterside,condominium,15,tanjong rhu,kallang,nov-19,2400,06 to 10,A,3500000
31683648.0,https://condo-sg.com/casa-pasir-ris-8381,casa pasir ris,condominium,17,pasir ris park,pasir ris,jul-17,2207,01 to 05,A,1200000
78821151.0,https://condo-sg.com/water-place-6930,water place,condominium,15,tanjong rhu,Kallang,jul-17,1227,11 to 15,A,1475000
54570453.0,https://condo-sg.com/avenue-south-residence-7460,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,oct-19,657,11 to 15,A,1334000
95427556.0,https://condo-sg.com/the-quayside-6263,the quayside,apartment,9,robertson quay,singapore river,dec-19,1313,01 to 05,A,1850000
96472266.0,https://condo-sg.com/aspen-loft-1424,aspen loft,apartment,15,geylang east,geylang,oct-26,1302,01 to 05,A,1310000
69289736.0,https://condo-sg.com/beacon-heights-3274,beacon heights,condominium,12,bendemeer,kallang,jun-18,893,21 to 25,A,1180000
45084162.0,https://condo-sg.com/queens-peak-9846,queens_peak,condominium,3,margaret drive,queenstown,jun-18,861,36 to 40,A,1643000
94994313.0,https://condo-sg.com/the-luxurie-2796,the luxurie,condominium,19,sengkang town centre,sengkang,dec-20,797,01 to 05,A,929000
33856600.0,https://condo-sg.com/piermont-grand-2249,piermont grand,executive condominium,19,punggol town centre,punggol,sep-26,840,06 to 10,A,948510
