transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
26813880,http://condo-sg.com/principal-garden-7889,principal garden,prince charles crescent,condominium,3,alexandra north,bukit merah,feb-17,484,16 to 20,A,813000
42193924,http://condo-sg.com/lakeville-7204,lakeville,jurong lake link,condominium,22,hong kah,jurong west,sep-21,732,01 to 05,A,1030000
51836889,http://condo-sg.com/casafina-4748,casafina,bedok south avenue 1,condominium,16,bedok south,bedok,feb-19,1281,01 to 05,A,
23478791,http://condo-sg.com/whistler-grand-8195,whistler grand,west coast vale,apartment,5,west coast,clementi,jan-21,506,26 to 30,A,852800
88504868,http://condo-sg.com/treasure-crest-1459,treasure crest,anchorvale crescent,executive condominium,19,anchorvale,sengkang,mar-19,958,06 to 10,A,999000
98326087,http://condo-sg.com/one-leicester-6044,one leicester,leicester road,condominium,13,potong pasir,toa payoh,sep-21,1636,01 to 05,A,2000000
70536250,http://condo-sg.com/parc-rosewood-6075,parc rosewood,rosewood drive,condominium,25,woodgrove,woodlands,jun-21,431,01 to 05,A,520000
23403903,http://condo-sg.com/midwood-1745,midwood,hillview rise,condominium,23,hillview,bukit batok,apr-21,484,11 to 15,A,805000
87059064,http://condo-sg.com/rivertrees-residences-9865,rivertrees residences,fernvale close,apartment,28,fernvale,sengkang,nov-20,1270,21 to 25,A,1500000
10599168,http://condo-sg.com/trevose-park-5769,trevose park,trevose crescent,condominium,11,dunearn,novena,oct-17,1658,01 to 05,A,2580000
37171117,http://condo-sg.com/affinity-at-serangoon-7741,affinity at serangoon,serangoon north avenue 1,apartment,19,serangoon garden,serangoon,may-20,474,06 to 10,A,762000
61467551,http://condo-sg.com/the-tennery-5532,the tennery,woodlands road,apartment,23,teck whye,choa chu kang,may-19,614,06 to 10,A,745000
44333994,http://condo-sg.com/tree-house-3829,tree house,chestnut avenue,condominium,23,dairy farm,bukit panjang,mar-18,1249,01 to 05,A,1250000
57018476,http://condo-sg.com/treasure-at-tampines-4460,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,feb-21,678,06 to 10,A,990000
33736453,http://condo-sg.com/sengkang-grand-residences-3691,sengkang grand residences,compassvale bow,apartment,19,compassvale,sengkang,nov-19,624,11 to 15,A,1105600
78414451,http://condo-sg.com/goodwood-grand-2101,goodwood grand,balmoral road,apartment,10,goodwood park,newton,jul-17,775,01 to 05,A,
74398935,,the quinn,bartley road,apartment,19,upper paya lebar,serangoon,jun-21,667,01 to 05,A,
84974866,http://condo-sg.com/the-belvedere-2988,the belvedere,meyer road,condominium,15,mountbatten,marine parade,sep-21,1367,16 to 20,A,2820000
93206066,http://condo-sg.com/the-commodore-5713,the commodore,canberra drive,condominium,27,sembawang springs,,nov-21,463,01 to 05,A,700000
67342338,,amber skye,amber road,apartment,15,marine parade,,jun-17,635,16 to 20,A,1408000
93303281,http://condo-sg.com/daintree-residence-5510,daintree residence,toh tuck road,condominium,21,anak bukit,bukit timah,jun-20,710,01 to 05,A,1165700
35629053,http://condo-sg.com/parc-clematis-6769,parc clematis,jalan lempeng,apartment,5,faber,clementi,dec-20,721,11 to 15,A,1179500
58033610,http://condo-sg.com/the-clement-canopy-3457,the clement canopy,clementi avenue 1,apartment,5,clementi woods,clementi,may-17,732,26 to 30,A,1071000
40904015,http://condo-sg.com/parc-oasis-1468,parc oasis,jurong east avenue 1,condominium,22,yuhua west,,may-21,1076,06 to 10,A,980000
21230843,http://condo-sg.com/one-devonshire-1779,one devonshire,devonshire road,condominium,9,leonie hill,river valley,jul-17,1496,31 to 35,A,3380000
98826309,http://condo-sg.com/affinity-at-serangoon-2180,affinity at serangoon,serangoon north avenue 1,apartment,19,serangoon garden,serangoon,jan-19,474,11 to 15,A,
